id,name,cost,capacity,pair
jakabare,JAKABARE,40,1.28,
jakarta-surabaya-cable-system-jayabaya,Jakarta Surabaya Cable System (JAYABAYA),22.2,,
jakarta-bangka-bintan-batam-singapore-b3js,Jakarta-Bangka-Bintan-Batam-Singapore (B3JS),,,
jambi-batam-cable-system-jiba,Jambi-Batam Cable System (JIBA),6.675,,
janna,Janna,15.85,,
japan-information-highway-jih,Japan Information Highway (JIH),,,
japan-guam-australia-north-jga-n,Japan-Guam-Australia North (JGA-N),65,24,2
japan-guam-australia-south-jga-s,Japan-Guam-Australia South (JGA-S),175,36,2
japan-u-s-cable-network-jus,Japan-U.S. Cable Network (JUS),140,21.6,4
jasuka,JASUKA,280,0.32,
java-bali-cable-system-jbcs,Java Bali Cable System (JBCS),1,,
java-kalimantan-sulawesi-jakasusi,Java-Kalimantan-Sulawesi (JAKASUSI),,,
jerry-newton,Jerry Newton,,,
jonah,Jonah,15,12.8,2
jscfs,JSCFS,52.5,12.8,8
junior,Junior,9.75,,8
jupiter,JUPITER,364.425,60,5
jupiter,JUPITER,,,
kafos,KAFOS,20,0.0012,
kaliningrad-cable,Kaliningrad Cable,,,
kanawa,Kanawa,20,10,2
kattegat-2,Kattegat 2,10,10.02,6
kerch-strait-cable,Kerch Strait Cable,1.15,,
ketchcan1-submarine-fiber-cable-system,KetchCan1 Submarine Fiber Cable System,4,,12
kodiak-kenai-fiber-link-kkfl,Kodiak Kenai Fiber Link (KKFL),30,0.01,4
korea-japan-cable-network-kjcn,Korea-Japan Cable Network (KJCN),12.5,28.8,12
kumul-domestic-submarine-cable-system,Kumul Domestic Submarine Cable System,,,
kupang-alor-cable-systems,Kupang-Alor Cable Systems,,,
kuwait-iran,Kuwait-Iran,20,0.0025,6
la-gomera-el-hierro,La Gomera-El Hierro,,,
labuan-brunei-submarine-cable,Labuan-Brunei Submarine Cable,,,
lanis-1,Lanis-1,,,
lanis-2,Lanis-2,,,
lanis-3,Lanis-3,,,
latvia-sweden-1-lv-se-1,Latvia-Sweden 1 (LV-SE 1),,,
lazaro-cardenas-manzanillo-santiago-submarine-cable-system-lcmsscs,Lazaro Cardenas-Manzanillo Santiago Submarine Cable System (LCMSSCS),8.05,,
leif-erikson,Leif Erikson,102.5,,
lev-submarine-system,Lev Submarine System,175,0.0025,2
lfon-libyan-fiber-optic-network,LFON (Libyan Fiber Optic Network),,,
libreville-port-gentil-cable,Libreville-Port Gentil Cable,4.95,,
link-1-phase-1,Link 1 Phase-1,,,
link-1-phase-2,Link 1 Phase-2,,,
link-2-phase-1,Link 2 Phase-1,,,
link-2-phase-2,Link 2 Phase-2,,,
link-3-phase-1,Link 3 Phase-1,,,
link-3-phase-2,Link 3 Phase-2,,,
link-4-phase-2,Link 4 Phase-2,,,
link-5-phase-2,Link 5 Phase-2,,,
lower-indian-ocean-network-lion,Lower Indian Ocean Network (LION),30,1.28,2
lower-indian-ocean-network-2-lion2,Lower Indian Ocean Network 2 (LION2),76,1.28,2
luwuk-tutuyan-cable-system-ltcs,Luwuk Tutuyan Cable System (LTCS),11.15,,
lynn-canal-fiber,Lynn Canal Fiber,3.45,,
mainone,MainOne,240,10,
malaysia-cambodia-thailand-mct-cable,Malaysia-Cambodia-Thailand (MCT) Cable,60,30,6
malbec,Malbec,65,,6
maldives-sri-lanka-cable-msc,Maldives Sri Lanka Cable (MSC),21,,4
malta-gozo-cable,Malta-Gozo Cable,0.325,,12
malta-italy-interconnector,Malta-Italy Interconnector,2.375,,
manatua,Manatua,100,10,2
mandji-fiber-optic-cable,Mandji Fiber Optic Cable,1.25,,24
maple-leaf-fibre,Maple Leaf Fibre,,,
marea,MAREA,165,200,8
mariana-guam-cable,Mariana-Guam Cable,,,
maroc-telecom-west-africa,Maroc Telecom West Africa,,,
mataram-kupang-cable-system-mkcs,Mataram Kupang Cable System (MKCS),94,1.8,6
matrix-cable-system,Matrix Cable System,30,2.56,4
mauritius-and-rodrigues-submarine-cable-system-mars,Mauritius and Rodrigues Submarine Cable System (MARS),17.5,8,2
maya-1,Maya-1,120,0.9225,2
med-cable-network,Med Cable Network,40,0.02,
mednautilus-submarine-system,MedNautilus Submarine System,190,38.4,6
medusa-submarine-cable-system,Medusa Submarine Cable System,352,480,24
melita-1,Melita 1,14,0.05,
meltingpot-indianoceanic-submarine-system-metiss,Meltingpot Indianoceanic Submarine System (METISS),75,24,
mid-atlantic-crossing-mac,Mid-Atlantic Crossing (MAC),200,0.92,2
middle-east-north-africa-mena-cable-systemgulf-bridge-international,Middle East North Africa (MENA) Cable System/Gulf Bridge International,210,57.56,6
minoas-east-and-west,Minoas East and West,,,
mist,MIST,400,240,12
miyazaki-okinawa-cable-moc,Miyazaki-Okinawa Cable (MOC),,,
monet,Monet,280,60,6
moratelindo-international-cable-system-1-mic-1,Moratelindo International Cable System-1 (MIC-1),10,0.01,
n0r5ke-viking,N0r5ke Viking,18.75,,
national-digital-transmission-network-ndtn,National Digital Transmission Network (NDTN),,,
nationwide-submarine-cable-ooredoo-maldives-nascom,Nationwide Submarine Cable Ooredoo Maldives (NaSCOM),,,
natitua,Natitua,62.5,10,
natitua-sud,Natitua Sud,,,
nelson-levin,Nelson-Levin,5.3,,
new-cross-pacific-ncp-cable-system,New Cross Pacific (NCP) Cable System,350,80,7
nigeria-cameroon-submarine-cable-system-ncscs,Nigeria Cameroon Submarine Cable System (NCSCS),30,12.8,6
no-uk,NO-UK,20,216,8
nordbalt,NordBalt,10,,
north-west-cable-system,North West Cable System,,12,2
northern-lights,Northern Lights,,,
northstar,NorthStar,90,0.01,
nzadi-cable-system,Nzadi Cable System,,,
okinawa-cellular-cable,Okinawa Cellular Cable,20,80,
oman-australia-cable-oac,Oman Australia Cable (OAC),242.5,39,3
omranepeg-cable-system,OMRAN/EPEG Cable System,15,,
oran-valencia-orval,Oran-Valencia (ORVAL),27,40,4
oteglobe-kokkini-bari,OTEGLOBE Kokkini-Bari,,,
pacific-caribbean-cable-system-pccs,Pacific Caribbean Cable System (PCCS),160,45,6
pacific-crossing-1-pc-1,Pacific Crossing-1 (PC-1),,,
pacific-light-cable-network-plcn,Pacific Light Cable Network (PLCN),300,144,6
pacific-light-cable-network-plcn,Pacific Light Cable Network (PLCN),,,
palapa-ring-east,Palapa Ring East,,,
palapa-ring-middle,Palapa Ring Middle,,,
palapa-ring-west,Palapa Ring West,,,
palawa-iloilo-cable-system,Palawa-Iloilo Cable System,75,,
pan-european-crossing-uk-belgium,Pan European Crossing (UK-Belgium),,,
pan-european-crossing-uk-ireland,Pan European Crossing (UK-Ireland),,,
pan-american-crossing-pac,Pan-American Crossing (PAC),350,3.2,2
paniolo-cable-network,Paniolo Cable Network,14.375,,24
pasuli,PASULI,1,,
peace-cable,PEACE Cable,425,16,6
penbal-5,PENBAL-5,7.725,,
pencan-8,Pencan-8,,,
pencan-9,Pencan-9,,,
persona,Persona,20,,
pgascom,PGASCOM,6.6,,
picot-1,Picot-1,,,
pipe-pacific-cable-1-ppc-1,PIPE Pacific Cable-1 (PPC-1),650,8.4,4
pishgaman-oman-iran-poi-network,Pishgaman Oman Iran (POI) Network,10,,
pishgaman-oman-iran-poi-network,Pishgaman Oman Iran (POI) Network,,,
pldt-domestic-fiber-optic-network-dfon,PLDT Domestic Fiber Optic Network (DFON),,,
png-lng,PNG LNG,5,,
polar-circle-cable,Polar Circle Cable,,,
polar-express,Polar Express,889,104,6
poseidon,POSEIDON,,,
prat,Prat,87.5,9.6,36
